configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,37.42,37.42,0.0,37.42,37.42,37.42,37.42
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,43.904,43.904,0.0,43.904,43.904,43.904,43.904
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,43.994,43.994,0.0,43.994,43.994,43.994,43.994
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,43.882,43.882,0.0,43.882,43.882,43.882,43.882
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,38.384,38.384,0.0,38.384,38.384,38.384,38.384
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,42.499,42.499,0.0,42.499,42.499,42.499,42.499
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,33.811,33.811,0.0,33.811,33.811,33.811,33.811
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.819,44.819,0.0,44.819,44.819,44.819,44.819
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,31.173,31.173,0.0,31.173,31.173,31.173,31.173
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,33.538,33.538,0.0,33.538,33.538,33.538,33.538
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,43.749,43.749,0.0,43.749,43.749,43.749,43.749
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,43.942,43.942,0.0,43.942,43.942,43.942,43.942
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.842,44.842,0.0,44.842,44.842,44.842,44.842
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.938,44.938,0.0,44.938,44.938,44.938,44.938
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,43.919,43.919,0.0,43.919,43.919,43.919,43.919
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,43.605,43.605,0.0,43.605,43.605,43.605,43.605
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,104.372,104.372,0.0,104.372,104.372,104.372,104.372
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,109.022,109.022,0.0,109.022,109.022,109.022,109.022
